,sequence_number,gold_difference,team_win,herald_difference,dragon_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role
810,811,-414.0,0,2,0.0,1.33,3.5,-6.0,0.1699999999999999,-0.5800000000000001,0.0,-1.0
811,812,-1018.0,0,0,1.0,-3.75,-6.0,-3.5,0.0,-0.5,-1.0,1.0
812,813,-5060.0,0,-2,0.0,-6.5,-5.5,-5.75,-5.2,-6.5,-2.0,1.0
813,814,-4240.0,0,0,1.0,3.67,-3.0,-1.25,-9.6,-3.47,-1.0,-1.0
814,815,1472.0,0,0,1.0,-2.67,2.0,1.5,2.67,5.0,1.0,0.0
815,816,4430.0,1,2,-1.0,4.4,4.5,1.5,-1.67,-0.1699999999999999,-2.0,1.0
816,817,5070.0,1,2,-1.0,5.0,-1.0,3.0,-5.67,-2.67,-1.0,0.0
817,818,-354.0,0,2,-1.0,-0.3299999999999999,9.33,4.5,0.3399999999999998,-0.25,1.0,0.0
818,819,5152.0,1,-1,-2.0,-1.0,0.0,-6.6,5.75,4.67,-1.0,0.0
819,820,-105.0,0,-2,-1.0,-1.6,-8.0,7.2,-4.25,1.08,1.0,-1.0
820,821,-1736.0,0,0,2.0,-0.5,-8.0,-4.5,-6.67,0.0,-2.0,0.0
821,822,2479.0,1,0,2.0,-0.75,-1.5,7.5,4.0,5.5,-1.0,0.0
822,823,-2279.0,1,-2,-1.0,-5.5,-9.33,-1.0,0.33,0.6600000000000001,0.0,-1.0
823,824,-2121.0,0,-1,-1.0,-3.67,-1.5,-5.33,-2.33,-6.33,1.0,1.0
824,825,5848.0,1,0,-1.0,2.0,0.1699999999999999,5.5,9.86,10.2,0.0,-1.0
825,826,1021.0,0,0,1.0,4.67,5.75,4.5,0.1699999999999999,2.0,-1.0,-2.0
826,827,3295.0,1,2,0.0,-0.17,12.67,8.0,-4.0,-3.5,2.0,1.0
827,828,-8775.0,0,-2,2.0,-2.67,0.0,-3.5,-2.0,-2.0,1.0,2.0
828,829,207.0,0,2,1.0,0.5,0.0,-2.0,-2.83,-0.33,-1.0,0.0
