link,top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,gold_difference_at_20_minutes,turret_difference_at_20_minutes,dragon_difference_at_20_minutes,KDA_blue,KDA_red,Blue_Heralds_killed,Red_Heralds_killed,Team_Win,kda_top_blue,kda_top_red,kda_jungle_blue,kda_jungle_red,kda_mid_blue,kda_mid_red,kda_ad_blue,kda_ad_red,kda_sp_blue,kda_sp_red
/match/las/1290635900,Darius,Sett,Nunu & Willump,Jarvan IV,Zed,Sylas,Kai'Sa,Jinx,Yuumi,Thresh,4972.0,2.0,1.0,26 / 14 / 43,14 / 26 / 22,2,0,blue,0.5,2.5,1.5,8.0,2.33,1.2,10.0,3.0,10.0,0.71
/match/las/1290227289,Pantheon,Dr. Mundo,Bel'Veth,Rengar,Heimerdinger,Vladimir,Jhin,Kog'Maw,Ashe,Twitch,4918.0,2.0,1.0,48 / 35 / 52,35 / 48 / 30,2,0,blue,4.0,1.2,3.33,2.5,1.2,2.25,2.25,0.71,1.67,3.0
/match/las/1290219214,Illaoi,Ahri,Gragas,Hecarim,Akshan,Cho'Gath,Kog'Maw,Zeri,Renata Glasc,Yuumi,5002.0,3.0,3.0,24 / 17 / 36,17 / 24 / 28,2,0,blue,5.0,0.6,1.67,2.5,1.33,5.0,3.0,1.33,2.67,3.5
/match/las/1290218271,Malphite,K'Sante,Zac,Milio,Syndra,Ryze,Tristana,Lucian,Jarvan IV,Poppy,879.0,2.0,-3.0,15 / 23 / 27,23 / 15 / 52,1,1,red,3.0,7.0,1.17,1.0,7.0,2.33,2.5,2.0,9.0,10.0
/match/las/1290208904,Mordekaiser,Singed,Hecarim,Lillia,Akshan,Yasuo,Jinx,Jhin,Senna,Zyra,-4039.0,-1.0,-2.0,30 / 54 / 32,54 / 30 / 80,2,0,red,0.67,3.5,3.2,5.33,1.71,2.2,0.83,3.17,1.2,4.2
/match/las/1290203293,Garen,Sion,Zac,Jarvan IV,Ahri,Irelia,Xayah,Cassiopeia,Rakan,Thresh,-3506.0,-2.0,-3.0,29 / 38 / 45,38 / 30 / 62,0,2,red,4.0,1.0,3.33,3.5,1.25,3.0,2.0,0.89,3.25,3.0
/match/las/1290183141,Gwen,Sion,Zac,Jarvan IV,Aurelion Sol,Lissandra,Zeri,Jinx,Pantheon,Rakan,986.0,-1.0,1.0,42 / 19 / 62,19 / 42 / 30,0,2,blue,2.0,2.0,6.0,0.67,2.0,2.0,2.25,1.17,6.0,1.75
/match/las/1290168936,Gnar,Darius,Evelynn,Zac,Zed,Sion,Karthus,Aphelios,Renata Glasc,Milio,-2997.0,-1.0,2.0,34 / 23 / 52,23 / 34 / 40,0,1,blue,0.0,3.0,6.0,12.0,6.0,0.4,2.0,2.25,1.8,1.67
/match/las/1290165519,Malphite,Illaoi,Lee Sin,Wukong,Fiora,Irelia,Tristana,Jinx,Karma,Leona,5974.0,0.0,2.0,19 / 18 / 32,18 / 19 / 32,1,1,red,1.5,0.33,9.0,0.33,4.0,0.4,11.0,0.0,14.0,0.25
/match/las/1290161671,Trundle,Jax,Sylas,Fiddlesticks,LeBlanc,Sion,Ezreal,Caitlyn,Lux,Milio,-3729.0,-3.0,0.0,17 / 22 / 28,22 / 17 / 38,2,0,red,2.0,2.0,6.0,3.0,2.0,0.0,1.0,5.0,0.6,7.0
