link,top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,kda_top_blue,kda_top_red,kda_jungle_blue,kda_jungle_red,kda_mid_blue,kda_mid_red,kda_ad_blue,kda_ad_red,kda_sp_blue,kda_sp_red,gold_difference,turret_blue,turret_red,dragon_blue,dragon_red,blue_heralds,red_heralds,team_win
/match/tr/1403472314,Yasuo,Yone,Diana,Kayn,Sylas,Zed,Miss Fortune,Varus,Rakan,Karma,0.29,4.0,1.2,2.67,0.67,7.0,3.0,0.5,2.0,8.0,-6646.0,1.0,0.0,1.0,0.0,0,1,red
/match/tr/1403471342,Irelia,Zed,Ekko,Sejuani,Twisted Fate,Taliyah,Draven,Caitlyn,Zyra,Lux,2.0,0.25,12.0,0.4,3.5,2.0,4.0,1.0,5.0,1.0,8746.0,0.0,2.0,0.0,1.0,2,0,blue
/match/tr/1403455899,Draven,Jayce,Gragas,Lucian,Darius,Malzahar,Aphelios,Zac,Lux,Nami,1.25,1.5,2.33,12.0,2.0,1.67,0.67,4.33,0.57,11.0,-5315.0,1.0,0.0,1.0,0.0,1,0,red
/match/tr/1403696354,Shyvana,Akshan,Lee Sin,Evelynn,Fizz,Zed,Aphelios,Jinx,Lulu,Karma,5.0,1.25,5.0,2.0,2.0,1.0,3.0,1.0,1.5,2.33,3060.0,0.0,1.0,0.0,1.0,2,0,blue
/match/tr/1403689986,Dr. Mundo,Kayle,Kayn,Elise,Orianna,Ziggs,Ezreal,Caitlyn,Alistar,Thresh,1.0,1.0,1.5,7.0,1.5,6.0,0.2,10.0,1.0,5.5,-5418.0,2.0,0.0,1.0,0.0,0,1,blue
/match/tr/1403692260,Ekko,Sion,Hecarim,Kayn,Lux,Vex,Vel'Koz,Jinx,Zilean,Swain,1.0,0.5,7.0,4.0,1.67,3.5,3.5,2.33,0.57,2.0,-4362.0,0.0,0.0,1.0,1.0,0,1,red
/match/tr/1403686743,Tahm Kench,Poppy,Kindred,Zac,Yone,Zed,Aphelios,Jinx,Karma,Bard,0.5,4.0,0.6,5.0,1.0,3.5,1.0,1.2,2.33,10.0,-2213.0,0.0,0.0,1.0,0.0,0,1,red
/match/tr/1403678984,Anivia,Poppy,Rammus,Thresh,Amumu,Varus,Xayah,Kassadin,Gnar,Master Yi,0.0,0.0,3.0,5.0,2.5,0.5,2.5,3.0,0.5,2.0,-1791.0,1.0,0.0,1.0,1.0,0,1,red
/match/tr/1401233228,Sett,Mordekaiser,Talon,Trundle,Katarina,Jayce,Jinx,Samira,Thresh,Leona,0.33,3.5,2.0,3.0,7.0,1.25,1.67,1.33,8.0,1.0,-397.0,1.0,0.0,1.0,0.0,0,1,red
/match/tr/1401223680,Cho'Gath,Urgot,Graves,Twisted Fate,Karma,Talon,Xayah,Kog'Maw,Nautilus,Renata Glasc,6.0,0.17,1.25,7.0,0.67,6.0,2.25,1.8,2.0,1.67,4192.0,0.0,3.0,0.0,1.0,2,0,red
