gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role
8539.0,1,1,1.0,0.0,3.0,4.5,3.33,5.2,11.8,2.0,1.0
-7213.0,0,-2,1.0,1.0,-6.0,-4.0,-11.0,-2.5,-2.33,-2.0,0.0
-6329.0,0,0,2.0,0.0,0.4,-11.67,-8.5,-8.0,-7.0,0.0,-1.0
1257.0,1,0,-2.0,0.0,-1.5,4.0,-1.0,3.5,3.5,-1.0,1.0
466.0,0,0,1.0,-1.0,6.0,-3.0,-2.5,-2.33,-3.0,0.0,2.0
-897.0,0,-2,1.0,1.0,-1.0,-0.6000000000000001,2.5,0.6699999999999999,3.0,-1.0,0.0
7798.0,0,2,1.0,-2.0,3.5,2.33,-2.33,7.0,4.67,1.0,1.0
-3347.0,0,0,1.0,0.0,-2.0,-8.6,-2.17,-3.0,-2.0,2.0,0.0
-3574.0,0,-2,2.0,1.0,-3.0,-2.0,3.0,-3.0,-3.0,-1.0,-1.0
-1376.0,0,-1,0.0,1.0,-1.0,-5.0,-5.0,-3.5,1.0,-2.0,-2.0
-2674.0,0,0,1.0,0.0,0.92,-2.0,-0.5,-3.0,-5.75,-2.0,0.0
-183.0,0,0,2.0,-1.0,4.2,-3.67,0.0,0.25,-2.5,0.0,0.0
1551.0,1,2,1.0,0.0,3.67,-3.0,0.0,1.5,-3.5,1.0,-1.0
-4852.0,1,0,2.0,2.0,6.33,1.0,0.33,-1.8,-1.93,1.0,0.0
10674.0,1,1,-1.0,-5.0,1.17,6.33,1.75,1.75,9.6,1.0,1.0
-2890.0,1,-2,2.0,1.0,-0.3299999999999999,-1.0,3.0,0.0,1.5,0.0,-1.0
3963.0,0,0,-1.0,0.0,0.83,7.5,7.0,8.5,7.33,-1.0,-1.0
6408.0,1,1,1.0,-2.0,1.08,3.25,3.75,0.5,6.33,-3.0,-1.0
2322.0,0,0,1.0,0.0,-1.0,13.2,3.0,1.0,6.67,0.0,1.0
6449.0,1,-1,-1.0,-1.0,3.5,4.0,8.0,4.67,4.0,-1.0,0.0
679.0,1,-2,-1.0,-1.0,-1.0,2.08,2.0,3.33,9.6,-2.0,1.0
2262.0,0,-2,2.0,0.0,5.8,-4.8,-2.0,0.5,0.0,-3.0,0.0
-9495.0,0,-2,1.0,2.0,1.0,-2.0,-4.43,-10.0,-5.0,-1.0,-1.0
2061.0,1,2,1.0,0.0,-1.0,0.0,-2.0,1.08,-3.5,0.0,-2.0
7066.0,1,1,-2.0,-2.0,5.0,7.33,1.33,-0.5,0.0,2.0,0.0
2847.0,1,0,-1.0,-1.0,0.8300000000000001,3.5,-1.0,7.8,3.3,-1.0,2.0
1681.0,1,0,2.0,1.0,3.0,5.5,-6.0,4.0,5.33,1.0,0.0
4391.0,1,2,-1.0,-2.0,5.67,8.67,2.17,0.5,1.0,0.0,1.0
-835.0,1,0,-1.0,0.0,-0.25,-2.17,2.83,-3.5,-6.0,-1.0,-1.0
-9083.0,0,-2,2.0,3.0,-2.0,-4.33,5.0,-1.33,-13.5,-2.0,0.0
-5550.0,0,0,0.0,1.0,-1.33,2.0,-3.0,1.0,-2.0,3.0,-1.0
-2435.0,1,2,1.0,0.0,0.9,6.0,-1.5,-0.33,-2.75,0.0,1.0
442.0,1,-2,1.0,1.0,-1.0699999999999998,1.33,-1.0,0.1699999999999999,-2.25,1.0,0.0
-1342.0,0,-2,-1.0,3.0,-0.66,1.0,-3.75,5.67,5.0,0.0,-1.0
-1531.0,1,0,1.0,1.0,0.5,-0.5,1.5,-3.17,-5.0,0.0,-1.0
8820.0,1,2,0.0,-2.0,2.0,6.0,0.5,-1.67,2.33,-2.0,-1.0
-3543.0,0,-2,-1.0,1.0,0.1699999999999999,-1.5,-3.9,3.3,1.0499999999999998,2.0,-1.0
-4223.0,0,0,2.0,1.0,-2.0,2.5,0.0,-6.67,-7.86,1.0,-1.0
11906.0,1,1,-2.0,-3.0,5.8,8.5,4.8,11.0,10.75,0.0,1.0
2989.0,0,0,1.0,0.0,5.0,5.33,0.5,1.0,2.0,1.0,-1.0
-4353.0,0,-2,0.0,1.0,0.5,-0.75,-4.0,0.5,-0.5,1.0,2.0
5235.0,1,0,1.0,-1.0,4.0,9.5,5.75,4.0,3.0,0.0,0.0
1664.0,0,2,1.0,-1.0,3.0,5.8,-0.8300000000000001,-6.67,2.0,-1.0,-1.0
-158.0,0,2,1.0,-1.0,5.33,2.0,2.0,-8.75,-8.8,0.0,-1.0
8587.0,1,-1,0.0,-1.0,0.5,9.0,0.5,9.0,2.33,0.0,-1.0
3412.0,0,2,-1.0,-1.0,-4.67,2.83,5.0,-0.5,-2.67,-1.0,1.0
-7244.0,1,-2,1.0,1.0,-4.0,-7.33,-0.5,-6.0,-7.0,0.0,-1.0
1097.0,0,2,1.0,-1.0,2.0,-3.0,-3.33,0.33,-2.0,-1.0,0.0
-5389.0,0,-2,1.0,2.0,-6.6,-0.3999999999999999,-9.6,4.0,3.0,-1.0,0.0
4802.0,1,2,-1.0,-1.0,2.43,4.33,-3.5,1.4,-1.0699999999999998,-1.0,0.0
-5965.0,1,2,1.0,1.0,0.75,-2.33,1.33,-11.33,-8.0,-1.0,-1.0
-3702.0,0,-2,1.0,1.0,1.5,-1.33,-6.67,-5.0,1.0,2.0,0.0
-1966.0,0,-2,2.0,0.0,-3.0,-4.1,-2.75,3.67,6.0,-2.0,-2.0
524.0,1,-1,0.0,0.0,-0.5,2.0,-3.33,4.5,5.8,0.0,2.0
-384.0,1,2,0.0,-1.0,1.25,-5.67,0.5,3.0,3.5,-2.0,0.0
583.0,1,2,1.0,0.0,4.5,1.83,0.0,-3.0,-3.5,1.0,2.0
328.0,1,0,-2.0,0.0,0.0,1.67,-2.0,1.08,-1.5,1.0,0.0
