Unnamed: 0,gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role
2760,-5547.0,0,-2,1.0,1.0,-3.67,-12.4,-6.8,0.0,-5.5,1.0,-1.0
6398,-4141.0,1,1,2.0,0.0,1.0,-9.2,-2.0,-8.6,-9.5,2.0,0.0
6485,2184.0,0,0,0.0,-1.0,5.8,1.0,-5.33,-5.0,-6.25,-1.0,-1.0
1242,-8299.0,0,-1,2.0,1.0,-7.0,-4.0,-3.17,-9.33,-9.6,-1.0,-1.0
7728,-326.0,1,2,1.0,0.0,2.67,6.0,1.4,-1.75,0.5800000000000001,-1.0,-1.0
9281,9859.0,1,1,-2.0,-3.0,3.0,7.0,0.5,4.0,3.0,1.0,0.0
7140,6100.0,1,0,-1.0,0.0,3.1,-1.0,6.0,-0.33,0.75,-1.0,-1.0
9099,-34.0,1,1,1.0,0.0,3.4,2.33,1.0,-5.0,-9.25,-1.0,0.0
1660,-7176.0,0,-2,2.0,3.0,-2.67,-4.0,-7.0,3.5,3.0,-2.0,1.0
1102,-6168.0,0,-2,-1.0,2.0,-1.53,-1.0,6.67,-4.5,-5.33,0.0,0.0
1952,-9632.0,0,-2,2.0,2.0,-10.0,-10.0,-2.0,-3.17,-8.8,-1.0,1.0
1788,4114.0,1,2,-2.0,-1.0,3.75,0.8300000000000001,5.67,0.0,0.33,0.0,-1.0
5688,4800.0,0,0,-1.0,0.0,1.5,7.25,3.6,6.8,10.75,2.0,1.0
9608,2305.0,0,-2,-2.0,0.0,-1.0,8.33,1.5,0.75,3.67,0.0,0.0
7038,-1997.0,0,-2,0.0,1.0,-0.66,-1.17,-2.25,0.6699999999999999,-0.6699999999999999,0.0,-1.0
5994,3937.0,1,0,0.0,-1.0,0.5,-1.5,-2.0,1.0,1.0,0.0,-1.0
5722,706.0,1,2,0.0,0.0,2.67,-6.67,-1.67,-2.5,-0.6699999999999999,0.0,-1.0
9620,4543.0,1,2,0.0,-1.0,11.83,4.66,4.0,-3.25,-1.33,2.0,0.0
